id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
1837;Puzles Madrid;DemoEM;1837;Situada frente al parque de El Retiro, esta coctelería &ndash, vermutería ofrece una interesante variedad de vermús, cócteles (clásicos y actuales), así como de vinos con diversas denominaciones de origen que se convierten en los mejores acompa;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/puzles_4.jpeg;-3.678777400000;40.418952300000;;;EntertainmentEstablishments;Coctelerías,
1838;El S&oacute,tano;DemoEM;1838;Situada en el corazón de La Latina, esta sala es uno de los referentes de la escena underground madrileña. Inaugurada inicialmente en 2015, se vio obligada a cerrar en 2016 y reabrió en 2020. En ella se puede disfrutar de música en directo (ind;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/el_sotano_9.jpg;-3.707788000000;40.410998100000;;;EntertainmentEstablishments;Discoteca,Musica directo,
1839;Breakery;DemoEM;1839;El prestigioso chef pastelero Oriol Balaguer dirige este espacio gastronómico situado en el lobby del hotel Only You Atocha, frente a la estación de tren madrileña. Con una estética neoyorquina, esta cafetería pastelería ofrece una gran varieda;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/breakery_3.jpg;-3.688354000000;40.407267300000;;;EntertainmentEstablishments;Cafés,Otros,
1840;360&deg, Terraza  y Sky Bar;DemoEM;1840;La azotea del Hotel Riu Plaza de España alberga una de las terrazas más espectaculares de Madrid, desde la que se puede obtener unas vistas excepcionales de toda la ciudad gracias a sus 360&deg, (que le dan nombre), mientras se disfruta de una ;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/360_terraza_y_sky_bar_de_madrid_al_cielo_9.jpg;-3.711112439632;40.424147297658;;;EntertainmentEstablishments;Terrazas,
1841;Picalagartos Sky Bar &amp, Restaurant;DemoEM;1841;Situado en los dos últimos pisos del hotel NH Collection Gran Via, este espacio perteneciente al grupo de restauración Azotea presenta una oferta gastronómica formada por un restaurante con vistas y una terraza de 360 grados desde la que poder ;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/picalagartos_4.jpg;-3.701051700000;40.419873100000;;;EntertainmentEstablishments;Terrazas,
1842;Tablao Flamenco La Carmela;DemoEM;1842;Situado en las antiguas carboneras de la taberna &ldquo,La Carmela&rdquo,, un local mítico que ocupa el lugar donde estuvo el antiguo convento de la Victoria, junto a la Puerta del Sol, este nuevo tablao fusiona la gastronomía castiza con el ar;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/tablao_la_carmela_6.jpeg;-3.701736100000;40.416242400000;;;EntertainmentEstablishments;Flamenco,
1843;Terraza de la Casa Encendida;DemoEM;1843;La azotea de La Casa Encendida acoge este lugar extraordinario que alberga una gran variedad de especies vegetales además de sus famosos huertos urbanos, pioneros en Madrid. Con la llegada del verano, el cine y la música toman la terraza convir;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/terraza_de_la_casa_encendida.jpg;-3.699966800000;40.406062200000;;;EntertainmentEstablishments;Terrazas,
1844;Tablao Flamenco Torero;DemoEM;1844;Situado a medio camino entre la Puerta del Sol y el Barrio de las Letras, este tablao flamenco de la calle de la Cruz esconde en su sótano una cueva abovedada revestida de ladrillo donde se puede disfrutar de un espectáculo flamenco sin artific;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/torero_7.jpg;-3.702704000000;40.414910000000;;;EntertainmentEstablishments;Flamenco,
1845;La Flor del Pan;DemoEM;1845;La Flor del Pan es una de las panaderías más antiguas de Madrid,&nbsp,ya que&nbsp,corría finales del S. XIX cuando Ramona Pereira abrió las puertas de este despacho de pan artesano en la calle Argensola.&nbsp,Actualmente, está regentado por la ;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/flor_del_pan.png;-3.694833800000;40.425846600000;;;EntertainmentEstablishments;Cafés,
1846;Sala Vesta;DemoEM;1846;Instalada en el lugar que&nbsp,ocupaba&nbsp,uno de los clubs de jazz más prestigiosos de Madrid, el ya desaparecido Bogui Jazz, se encuentra la Sala Vesta, un espacio en el que tienen cabida todo tipo de sonidos y eventos.Desde conciertos de gr;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/6salavesta.jpg;-3.695632800000;40.422978800000;;;EntertainmentEstablishments;Bar de copas,Discoteca,Musica directo,Otros,
