id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
0;2º Filandón de Pacífico;DemoEM;0;;;-3.6772826298329093;40.402190438836826;2021-11-18T19:00:00.0Z;2021-11-18T23:59:00.0Z;Leisure;ConferenciasColoquios
1;35º Certamen coreográfico de Madrid;DemoEM;1;;;-3.710182353581842;40.42802889001877;2021-12-08T00:00:00.0Z;2021-12-12T23:59:00.0Z;Leisure;DanzaBaile
2;3. Concierto Clásico;DemoEM;2;Atlántida Chamber Orchestra    (Lis String Sextet)    Dirige: Manuel Tévar.  Programa:   W. A. MOZART  Pequeña serenata nocturna:1. Allegro2. Andante3. Minueto4. Rondo Allegro  AMY BEACH  Quinteto op 80 Tema y variaciones.  Flauta y cuarteto de;;-3.606140062044455;40.38281899948726;2021-11-13T18:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;Musica
3;4. Concierto Romántico;DemoEM;3;Atlántida Chamber Orchestra    Dirige: Manuel Tévar.  Programa:   GRIEG  (Peer Gynt op. 46.)  BIZET  (Suite Carmen)  MASSENET  (Meditación de Thais)  BRITTEN  (Sentimental Sarabanda)  TCHAIKOVSKY  (Valse serenata cuerdas op. 48.)  MASCAGNI  (Ca;;-3.606140062044455;40.38281899948726;2021-11-27T18:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;Musica
4;50 años en 50 Fotos;DemoEM;4;Exposición fotografías. Una mirada retrospectiva a la trayectoria artística de Doña Susana Gómez Martín, en 50 imágenes que reflejan la evolución de la artista madrileña, nacida en Aluche, inmortalizando paisajes, rostros e instantes únicos vin;;-3.761911556533903;40.38513183038149;2021-11-11T00:00:00.0Z;2021-11-28T23:59:00.0Z;Leisure;Exposiciones
5;70º Aniversario de la Anexión de Vicálvaro a Madrid (20 de octubre de 1951): El proceso de anexión de Vicálvaro a Madrid;DemoEM;5;Organiza Asociación Histórica 'Vicus Albus';;-3.6086161200017157;40.405292721436055;2021-11-17T19:00:00.0Z;2021-11-17T23:59:00.0Z;Leisure;ConferenciasColoquios
6;88 Salón de Otoño;DemoEM;6;;;-3.6840615387926956;40.41906024374356;2021-10-28T00:00:00.0Z;2021-11-28T23:59:00.0Z;Leisure;Exposiciones
7;A Christmas Carol -;DemoEM;7;;;-3.6976620067964996;40.46903299144094;2021-12-04T19:00:00.0Z;2021-12-04T23:59:00.0Z;Leisure;1ciudad21distritos
8;A Compás;DemoEM;8;MONCLOA A RITMO DE FLAMENCO   MARÍA MEZCLE   'A Compás'   Ficha Artística:  Cante: María Mezcle Guitarra: Joni Jiménez Palmas: Ali de La Tota y Manuel Salado María es una artista necesaria para el Flamenco. Es cantaora, autora, compositora y pr;;-3.7188765163188293;40.435209393826675;2021-11-20T19:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;Flamenco
9;A Compas;DemoEM;9;MONCLOA A RITMO DE FLAMENCO     MARÍA MEZCLE  'A Compás'   Ficha Artística:  Cante: María Mezcle Guitarra: Joni Jiménez Palmas: Ali de La Tota y Manuel Salado María es una artista necesaria para el Flamenco. Es cantaora, autora, compositora y p;;-3.7188765163188293;40.435209393826675;2021-11-20T19:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;None
10;A Kali Canto;DemoEM;10;CLAUSURA MONCLOA A RITMO DE JAZZ   TINO DI GERALDO presenta    A KALI CANTO con Melón Jiménez y Lara Wong         Formación:  Percusión: Tino Di Geraldo Guitarra: Melón Jiménez Flautas y vientos: Lara Wong El confinamiento hizo que el maestro p;;-3.7188765163188293;40.435209393826675;2021-11-27T19:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;Flamenco
11;A nuestro aire;DemoEM;11;;;-3.6556073868098493;40.393612303425975;2021-11-19T19:00:00.0Z;2021-11-19T23:59:00.0Z;Leisure;DanzaBaile
12;A su servicio;DemoEM;12;;;-3.7107515747822353;40.38241253009179;2021-11-14T12:00:00.0Z;2021-11-14T23:59:00.0Z;Leisure;CircoMagia
13;A su servicio;DemoEM;13;;;-3.701141063083806;40.366768324753416;2021-11-13T12:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;CircoMagia
14;A tope con el móvil: nivel medio;DemoEM;14;¿Quieres aprender a usar las funciones y aplicaciones de tu móvil? Empodérate y pasa un buen rato junto a otras mujeres, sacándole el mayor rendimiento a este aparato. Importante traer móvil Smartphone. Miércoles 17 y 24 de noviembre de 12 a 13;;-3.6069161377213526;40.449003967549075;2021-11-17T12:00:00.0Z;2021-11-24T23:59:00.0Z;Leisure;EnLinea
15;Activadas para el empleo;DemoEM;15;Ven los MARTES a nuestro grupo de empleo y emprendimiento 'Activadas' ¿Estás en búsqueda de empleo? ¿Quieres cambiar de trabajo, formarte o reciclarte? ¿Quieres emprender y no sabes por dónde empezar? Descubre que no estás sola y apúntate a nue;;-3.6501714580414126;40.46155641637237;2021-11-16T11:00:00.0Z;2021-11-30T23:59:00.0Z;Leisure;CursosTalleres
16;Actividad para concienciar sobre la problemática en la juventud y los juegos on line;DemoEM;16;;;-3.5936877657335935;40.460622835379624;2021-11-18T18:00:00.0Z;2021-11-18T23:59:00.0Z;Leisure;ConferenciasColoquios
17;Actividades de ocio para niños y niñas;DemoEM;17;Horario: 11 a 14 h. y de 16 a 18 h. Taller creativo, circuito de minimotos y tiro con arco.   El taller creativo es una actividad que desarrolla la creatividad y la imaginación, además de desarrollar la psicomotricidad fina. Manualidades divert;;-3.6772826298329093;40.402190438836826;2021-11-20T11:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;ActividadesDeportivas
18;Actividades del día contra la violencia de género;DemoEM;18;Lugar: Paseo Federico García Lorca;;0;0;2021-11-25T18:00:00.0Z;2021-11-25T23:59:00.0Z;Leisure;None
19;Acto sobre la Migración;DemoEM;19;;;-3.5936877657335935;40.460622835379624;2021-11-11T19:00:00.0Z;2021-11-11T23:59:00.0Z;Leisure;ConferenciasColoquios
20;Adel;DemoEM;20;;;-3.621741078700336;40.42027705095574;2021-11-14T12:00:00.0Z;2021-11-14T23:59:00.0Z;Leisure;TeatroPerformance
21;Africa moment;DemoEM;21;;;-3.697247685884226;40.39241374953321;2021-11-24T00:00:00.0Z;2021-11-28T23:59:00.0Z;Leisure;DanzaBaile
22;Aftermath Blues Band;DemoEM;22;;;-3.611362970564875;40.43664778776818;2021-11-27T19:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;Musica
23;Agrupación musical 20 a tocar;DemoEM;23;;;-3.6914252404682903;40.379565707685856;2021-11-20T12:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;ActividadesCalleArteUrbano
24;Agrupación Señor Serrano. 'OLYMPUS KIDS';DemoEM;24;;;-3.710182353581842;40.42802889001877;2021-12-15T00:00:00.0Z;2021-12-19T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
25;Al compás de Dobemol;DemoEM;25;;;-3.6958072892892155;40.391054868587204;2021-09-21T00:00:00.0Z;2021-12-22T23:59:00.0Z;Leisure;None
26;Al sol de corazón, las criaturas crecen;DemoEM;26;;;-3.5980969888187393;40.448428925762634;2021-11-21T12:00:00.0Z;2021-11-21T23:59:00.0Z;Leisure;TeatroPerformance
27;Al son de los palillos;DemoEM;27;Espectáculo de baile español, clásico y flamenco a cargo de la compañía Azalea.  Para todos los públicos.;;-3.664855511110751;40.42938854032785;2021-11-27T18:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;TeatroPerformance
28;Alba Careta Group;DemoEM;28;Una música sometida a un cambio permanente, en crecimiento constante... esa es la definición más atinada que se puede dar del jazz. Cuando los clásicos y la tradición son revisados por algunos intérpretes jóvenes, la creación se renueva, queda ;;-3.692206111679657;40.419011767401095;2021-11-11T19:00:00.0Z;2021-11-11T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
29;Alegría Station;DemoEM;29;;;-3.697247685884226;40.39241374953321;2022-01-27T00:00:00.0Z;2022-02-20T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
30;Alfabetización digital;DemoEM;30;En este taller conocerás y aprenderás a manejar tareas básicas que te permitan mejorar tus competencias digitales. Conocerás los principales componentes del ordenador, el manejo del ratón, la creación de carpetas, así como las principales funci;;-3.668092320219012;40.40254931370529;2021-11-04T11:00:00.0Z;2021-11-30T23:59:00.0Z;Leisure;CursosTalleres
31;Alice Wonder;DemoEM;31;;;-3.698601359753866;40.40596423138839;2022-01-28T20:00:00.0Z;2022-01-28T23:59:00.0Z;Leisure;Musica
32;Alicia Ramos;DemoEM;32;Jornadas día internacional de la eliminación de la violencia contra la mujer distrito de Latina. Monólogo musical con esta cantautora canaria, que forma parte del colectivo 'Arte Muhé', proyecto artístico multidisciplinar cuyo objetivo es visib;;-3.7327010920242043;40.40647389284976;2021-11-26T19:00:00.0Z;2021-11-26T23:59:00.0Z;Leisure;Musica
33;All4gospel presenta Gospel4kids;DemoEM;33;;;-3.6899208519663427;40.424926347610764;2021-12-04T17:30:00.0Z;2021-12-12T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
34;Aló;DemoEM;34;;;-3.6229095774784765;40.37762362093048;2021-11-27T19:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;TeatroPerformance
35;Alquiler de bicicletas;DemoEM;35;;;-3.6958072892892155;40.391054868587204;2021-07-22T00:00:00.0Z;2021-12-31T23:59:00.0Z;Leisure;None
36;Amigos del barrio.;DemoEM;36;Este cuarteto de excelentes músicos profesionales nos presenta un repertorio de canciones conocidas de ambos lados del Atlántico.Canciones que forman parte de la banda sonora de nuestra vida, con arreglos que fusionan la música cubana y español;;-3.665799020694628;40.47960826297022;2021-11-26T19:00:00.0Z;2021-11-26T23:59:00.0Z;Leisure;Musica
37;Ancestras;DemoEM;37;;;-3.6129105844633775;40.44477474902185;2021-11-28T19:00:00.0Z;2021-11-28T23:59:00.0Z;Leisure;TeatroPerformance
38;Angry Birds 2;DemoEM;38;Cine Infantil. Género: Aventuras Reparto: Animación.  Sinopsis: Vuelven a la carga Red, el pájaro de color rojo con problemas de mal genio, y sus amigos Chuck, el pájaro amarillo hiperactivo, y Bomb, el pájaro negro muy volátil. En esta segunda;;-3.646536107063507;40.40609591857167;2021-11-27T12:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;CineActividadesAudiovisuales
39;Animario 2021;DemoEM;39;;;-3.6958072892892155;40.391054868587204;2021-11-10T00:00:00.0Z;2021-11-21T23:59:00.0Z;Leisure;None
40;Annette;DemoEM;40;;;-3.6129105844633775;40.44477474902185;2021-11-13T19:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;CineActividadesAudiovisuales
41;Aprende a manejar el móvil sin agobio;DemoEM;41;Los móviles forman parte de nuestro día a día, por eso conocer la mejor forma para manejarlos y sacarles todo el partido es fundamental. Vente a este taller con tu smartphone y aprenderás a manejarlo y entenderlo sin agobios.Los miércoles a las;;-3.6538891267077664;40.41087442118042;2021-11-03T11:00:00.0Z;2021-11-24T23:59:00.0Z;Leisure;CursosTalleres
42;Aprendiendo a utilizar mi teléfono móvil desde cero;DemoEM;42;¿Quieres aprender a usar tu teléfono móvil?  En este taller aprenderemos desde cero en un espacio libre de prejuicios donde se respetará el proceso de cada una para aprender este extraño cachivache.  Miércoles 3 y 10 de noviembre de 12 a 13:30h;;-3.6069161377213526;40.449003967549075;2021-11-03T12:00:00.0Z;2021-11-10T23:59:00.0Z;Leisure;EnLinea
43;Árbol genea-lógico;DemoEM;43;;;-3.6292874542291638;40.44774002225867;2021-10-02T00:00:00.0Z;2021-12-18T23:59:00.0Z;Leisure;CursosTalleres
44;Ariel Rot y Kiko Veneno;DemoEM;44;;;-3.698601359753866;40.40596423138839;2022-02-04T20:00:00.0Z;2022-02-04T23:59:00.0Z;Leisure;Musica
45;Arigato cuento que te canto.;DemoEM;45;;;-3.741639735552097;40.37690319217392;2021-11-21T12:00:00.0Z;2021-11-21T23:59:00.0Z;Leisure;1ciudad21distritos
46;Around the world - Puente de Vallecas;DemoEM;46;;;-3.6976620067964996;40.46903299144094;2021-12-04T12:30:00.0Z;2021-12-04T23:59:00.0Z;Leisure;1ciudad21distritos
47;Arte  en la calle;DemoEM;47;Muestra artística en la calle. Lugar: Avenida de Moratalaz, 121. Plaza del Arte (Junto a la Lonja de Moratalaz).;;0;0;2021-11-14T11:00:00.0Z;2021-11-14T23:59:00.0Z;Leisure;Exposiciones
48;Arte a Go-Gó;DemoEM;48;;;-3.6958072892892155;40.391054868587204;2021-10-17T00:00:00.0Z;2021-12-12T23:59:00.0Z;Leisure;None
