id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
3087;Commodore Madrid;DemoEM;3087;El mítico Mayte Commodore, inaugurado en 1967, fue uno de los restaurantes emblemáticos entre las décadas de 1970 y 1980. En él se dieron cita personalidades destacadas de la alta sociedad, intelectuales, artistas nacionales e internacionales (;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/commodore.jpg;-3.685700000000;40.445800000000;;;Restaurants;Internacional,Española,
3088;La m&aacute,s croqueta;DemoEM;3088;Junto a la Plaza Mayor, en la calle Toledo se encuentra esta croquetería y ultramarinos en la que se puede disfrutar de deliciosas croquetas 100 % artesanas, elaboradas con recetas únicas, ingredientes frescos y de gran calidad, además de otros;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/la_mas_croqueta_6.jpeg;-3.707367400000;40.413945900000;;;Restaurants;Tapas,Española,
3089;El Taller;DemoEM;3089;El Lago de la Casa de Campo es el escenario elegido por el grupo TriCiclo y The Hat Madrid para otro de sus proyectos gastronómicos. Junto al exitoso Villa Verbena se encuentra este espacio que aúna gastronomía, deporte y cerveza, en el que, ad;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/el_taller.jpg;-3.734736800000;40.419300900000;;;Restaurants;Internacional,
3090;Miss Sushi;DemoEM;3090;Esta popular cadena de restaurantes de cocina japonesa, presente en varias ciudades españolas, ofrece una propuesta gastronómica sorprendente, innovadora y vanguardista, con platos novedosos elaborados con productos frescos de alta calidad, tod;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/miss_sushi.jpg;-3.700012800000;40.414535400000;;;Restaurants;Internacional,
3091;La Terraza del Santo Domingo;DemoEM;3091;En la séptima planta del hotel Santo Domingo se encuentra esta terraza desde la que puede disfrutar de unas impresionantes vistas de 360 &deg, del skyline madrileño durante todos los días del año. En ella se puede disfrutar de una deliciosa coc;http://www.esmadrid.com/sites/default/files/recursosturisticos/noche/terraza_santo_domingo_2.jpg;-3.708539300000;40.420648900000;;;Restaurants;Española,
3092;MO de Movimiento;DemoEM;3092;Muy cerca de Nuevos Ministerios, en el local en el que estuvo el Teatro Espronceda y, posteriormente, el plató de televisión de la Agencia EFE, se encuentra este restaurante que es una auténtica declaración de intenciones en cuanto a sostenibil;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/mo_de_movimiento.jpg;-3.694963200000;40.440398100000;;;Restaurants;Internacional,Española,
3093;Coquetto Bar;DemoEM;3093;Los hermanos Sandoval han creado esta casa de comidas actualizada en la que, con una cocina con horario continuo, ofrecen una carta basada en recetas tradicionales, muy madrileña, donde los platos de cuchara, los escabeches o el horno de leña y;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/coquetto_bar.jpg;-3.690976700000;40.428249400000;;;Restaurants;De autor,Española,
3094;Shukran City Ventas;DemoEM;3094;Situado frente a la Plaza de toros de Las Ventas, este restaurante especializado en cocina libanesa presenta una carta compuesta de platos mediterráneos elaborados con ingredientes de primera calidad, entre los que destacan varios manakeesh, pa;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/shukran_city.jpg;-3.663876100000;40.430247000000;;;Restaurants;Internacional,Especiales,
3095;Santa y Pura;DemoEM;3095;Situado en Lavapiés, este bar vegano es la segunda aventura de los artífices del extinto restaurante vegano de La Latina, Pura Vida Vegan Bar. En este nuevo espacio, se puede disfrutar de una oferta gastronómica informal, así como de propuestas;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/santa_y_pura.jpg;-3.697212000000;40.410225900000;;;Restaurants;Bares,Vegano,
3096;Mune Madrid;DemoEM;3096;En el corazón de Chueca, se encuentra este pequeño restaurante que, desde octubre de 2020, acerca la gastronomía libanesa a los paladares de los madrileños y turistas. De la mano de Dalia Nabas y Rabib Haddad, este local transporta a los comens;http://www.esmadrid.com/sites/default/files/recursosturisticos/restaurantes/mune_madrid_3.jpg;-3.697005500000;40.424798200000;;;Restaurants;Vegano,Vegetariano,Internacional,Especiales,
