id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
4066;Glent Shoes;DemoEM;4066;En el corazón del selecto Barrio de Salamanca se encuentra la flagship de esta firma española de zapatos para hombre especializada en la fabricación de calzado de calidad a medida, utilizando la última tecnología e innovación y el asesoramiento;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/glent_shoes_3.jpg;-3.687184900000;40.423029200000;;;Shops;Zapaterías,
4067;Otaku Center;DemoEM;4067;Enclavada en el barrio de Malasaña, esta tienda es un referente para los fans del manga japonés, en la que se pueden encontrar todo tipo de figuras y merchandising originales de series y películas. Cuentan con un amplio catálogo y entre sus pro;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/otaku_center.jpg;-3.706467500000;40.422640000000;;;Shops;Otros,
4068;Sastrer&iacute,a Cornejo;DemoEM;4068;La&nbsp, Sastrería Cornejo es&nbsp,historia del cine, la televisión y el teatro, tanto en España como fuera de nuestras fronteras.&nbsp,En su haber cuentan con premios Oscar, Goyas, César y Baftas.Su historia comienza en 1920 en una sastrería d;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/146339399_4044591548907330_120731743185677003_n.jpg;-3.627780000000;40.440180000000;;;Shops;Artesanía,Otros,
4069;Joyer&iacute,a Granados;DemoEM;4069;Fue en 1899 cuando José Granados adquiere&nbsp,la joyería López Hermanos&nbsp,en la calle Carretas y comienza su andadura como Joyería y Platería Granados.&nbsp,Tras cinco años de actividad, José Granados fallece y su viuda se hace cargo del ne;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/granados1.jpg.jpg;-3.682825900000;40.421855900000;;;Shops;Joyerías,
4070;Chinela;DemoEM;4070;Corría el año 1912, cuando José Nuñez Rocha&nbsp,fundaba este comercio con la licencia de cacharrería, un tipo de tienda muy típica en aquellos tiempos, en la que se vendía un poco de todo, desde loza hasta artículos de limpieza, cordeles y alp;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/chinela-3-scaled.jpg;-3.682826500000;40.425845400000;;;Shops;Artesanía,Zapaterías,
4071;Casa El Valenciano;DemoEM;4071;A finales del S.XIX, un comerciante valenciano llamado Salvador Deltell, instaló en la calle de las Tenerías (tenería es donde se curten pieles), hoy conocida como Ribera de Curtidores, esta tienda que inicialmente se dedicaba a la venta de uni;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/13007270_1100246386663153_7506089937991262008_n.jpg;-3.706880800000;40.406542000000;;;Shops;Artesanía,Deporte,Zapaterías,
4072;La Moderna Apicultura;DemoEM;4072;En la calle Doctor Esquerdo se encuentra esta tienda dedicada a la venta de mieles y útiles de apicultura que otorga ser la más antigua de España y una de las más antiguas de Europa.Su historia comienza en 1919, cuando el rey Alfonso XIII,&nbsp;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/la_moderna_apicultura.jpg;-3.668595600000;40.423160300000;;;Shops;Compras tradicionales,Gourmet,
4073;Guante Varad&eacute,;DemoEM;4073;La historia de este comercio centenario, situado en el Barrio de Salamanca, se remonta al año 1902&nbsp,cuando el parisino de origen español, Santiago Varadé, abre su primera fábrica de guantes&nbsp,en Madrid, en la calle Montera. Tal es la cal;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/guante_varade.png;-3.687155100000;40.428088000000;;;Shops;Artesanía,Compras tradicionales,Moda,
4074;PHotoESPA&Ntilde,A Gallery;DemoEM;4074;El Barrio de las Letras acoge este nuevo espacio permanente de venta de obra fotográfica de PHotoESPAÑA, Festival Internacional de Fotografía y Artes Visuales. En él se podrá adquirir la obra de una variada selección de autores nacionales e int;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/photoespana-gallery.jpg;-3.693751500000;40.411733100000;;;Shops;Otros,
4075;Tienda-librer&iacute,a del Museo Nacional Thyssen-Bornemisza;DemoEM;4075;El Museo Nacional Thyssen-Bornemisza dispone de esta tienda-librería en la que se pueden adquirir una amplia gama de productos y publicaciones relacionados siempre con las colecciones del museo y las exposiciones temporales que en él se program;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/tienda_thyssen.jpg;-3.694942500000;40.416039700000;;;Shops;Otros,Regalo-Hogar-Decoración,
4076;Lata Peinada;DemoEM;4076;Situada entre Chueca y Malasaña, esta librería inaugurada en noviembre de 2020 es la primera de la ciudad dedicada a la literatura latinoamericana. En ella se puede encontrar una amplia selección de narrativa, poesía y ensayo de autores latinoa;http://www.esmadrid.com/sites/default/files/recursosturisticos/compras/lata_peinada.jpg;-3.701157300000;40.427215200000;;;Shops;Librería,
